area,bedrooms,garage,address,district,type,total
60,1,1,Rua Adriano Theodósio Serra,Vila Gomes,Casa,1760
29,1,0,Rua Marambaia,Casa Verde,Studio e kitnet,2048
32,1,1,Rua Professor Luis Eulálio de Bueno Vidigal,Centro,Apartamento,2775
169,4,1,Rua Professor José Horácio Meirelles Teixeira,Vila Suzana,Apartamento,8544
74,2,1,Avenida Leôncio de Magalhães,Jardim São Paulo,Apartamento,3509
80,2,2,Rua Domingos Crudo,Vila Conceição,Casa,6387
50,1,1,Rua Santo Antônio,Bela Vista,Studio e kitnet,4088
200,3,3,Rua Embiruçú,Vila Beatriz,Casa,2873
21,1,0,Rua Barão de Tatuí,Vila Buarque,Studio e kitnet,1428
37,1,1,Rua Janguruçu,Parque da Mooca,Studio e kitnet,2318
39,1,0,Rua Jaceguai,Bela Vista,Apartamento,2389
52,2,1,Avenida José Estevão de Magalhães,Vila Campestre,Apartamento,2979
25,1,0,Rua São Procópio,Vila Califórnia,Casa,730
270,4,2,Rua Luísa Bocchiglieri Ximenes,Jardim Santa Cruz (campo Grande),Casa,8871
18,1,0,"R. das Nhandirobas - Jardim Oriental, São Paulo - Sp, Brasil",Jardim Oriental,Apartamento,1823
90,3,3,Rua Plínio Colás,Lauzane Paulista,Apartamento,4360
70,1,1,Rua Abrahão Mussa,Jardim Patente Novo,Apartamento,1790
90,3,2,Rua Gurupi,Nova Gerti,Casa,2706
104,2,2,"R. João Simões de Souza - Parque Reboucas, São Paulo - Sp, 05734-140, Brasil",Parque Reboucas,Apartamento,8653
58,2,1,Rua Torres da Barra,Água Branca,Apartamento,4170
290,3,6,Rua Verona,Vila Dom Pedro Ii,Casa,4624
180,3,3,Rua Professor Miguel Maurício da Rocha,Brooklin Paulista,Casa,7873
80,2,0,Rua Taubaté,Utinga,Casa,1464
30,1,0,Rua Coronel Gustavo Santiago,Vila Zilda,Apartamento,2277
120,3,2,Rua Daniel José Pereira,Rio Pequeno,Casa,3822
54,2,1,Rua Mituto Mizumoto,Liberdade,Apartamento,3011
100,3,1,Rua Oratório,Jardim Sônia Maria,Casa,2152
54,1,0,Rua Capitão-mor Passos,Catumbi,Apartamento,1565
117,2,0,Rua Abelardo Pinto,Centro Histórico de São Paulo,Apartamento,2294
66,3,2,Rua Darwin,Jardim Santo Amaro,Apartamento,4104
54,2,1,Rua João Pimenta,Santo Amaro,Apartamento,4569
22,1,0,Rua dos Estudantes,Liberdade,Studio e kitnet,1825
45,2,0,Rua Josef Kryss,Parque Industrial Tomas Edson,Apartamento,2642
170,3,1,Alameda Joaquim Eugênio de Lima,Jardim Paulista,Apartamento,8948
48,2,1,Rua Professor Alves Pedroso,Cangaiba,Apartamento,1592
33,2,0,Avenida Cupecê,Jardim Prudência,Apartamento,2027
70,2,1,Rua Atos Damasceno,Vila Santa Catarina,Apartamento,2649
220,4,2,Rua Doutor Domingos de Sylos,Brooklin Paulista,Casa,6776
97,3,2,R. dos Democratas,Vila Monte Alegre,Apartamento,6649
300,3,2,Avenida Pedro Bueno,Jabaquara,Casa,4818
170,4,2,Rua Juquis,Indianópolis,Apartamento,16070
290,3,2,Rua Tristão de Campos,Jardim Trussardi,Casa,4932
54,2,1,Rua Treze de Maio,Bela Vista,Apartamento,4129
51,2,1,Rua Ancara,Utinga,Apartamento,2618
44,0,0,Rua Nova Barão,República,Studio e kitnet,2160
50,2,1,Rua Costa Barros,Sítio Pinheirinho,Apartamento,1800
29,1,0,Largo do Arouche,República,Studio e kitnet,2784
60,1,0,Rua Akron,Jardim Aricanduva,Casa,1407
44,1,1,Rua Doutor Miranda de Azevedo,Vila Anglo Brasileira,Apartamento,5154
36,1,0,Rua Apiacás,Perdizes,Studio e kitnet,3975
57,2,0,Rua Borges,Parada Inglesa,Apartamento,2919
102,2,0,Rua Barão do Triunfo,Brooklin Paulista,Apartamento,4611
47,1,1,Rua Marie Nader Calfat,Jardim Ampliação,Apartamento,3414
160,3,2,Rua Vicente Félix,Cerqueira César,Apartamento,14720
23,1,0,R. Tabatinguera,Centro,Studio e kitnet,2493
50,2,0,Rua São Marcos,Veloso,Casa,1147
24,1,0,Rua Caramuru,Vila da Saúde,Studio e kitnet,2932
68,3,1,Rua Antônio José Vaz,Vila Caraguatá,Apartamento,2683
110,2,1,Rua Oscar Horta,Mooca,Casa,2847
20,1,0,Viaduto Nove de Julho,Centro,Studio e kitnet,2365
80,2,1,Rua Magarinos Torres,Vila Maria,Casa,2593
48,2,1,Rua Farid Miguel Haddad,Vila Santa Teresa (zona Sul),Apartamento,1811
22,1,0,Rua Nossa Senhora da Saúde,Jardim Previdência,Casa,1263
30,1,0,Rua Anhaia,Campos Elíseos,Studio e kitnet,3777
30,1,0,Rua Ibiporã,Vila Divina Pastora,Apartamento,1277
28,1,0,Rua Doutor Miranda de Azevedo,Pompeia,Casa,1303
84,2,1,Rua Tagipuru,Barra Funda,Apartamento,4031
159,4,2,Rua Carlos Pinto Alves,Jardim Aeroporto,Casa,4449
190,3,3,Rua Raimundo Simão de Souza,Vila Suzana,Apartamento,5813
56,2,1,Rua Dom Bernardo Nogueira,Vila Gumercindo,Apartamento,3379
38,1,1,Rua Ascencional,Jardim Ampliação,Apartamento,3545
170,2,2,Rua Fúlvio Morganti,Jardim Paraíso,Casa,4245
68,3,1,Praça Santa Therezinha,Vila Azevedo,Apartamento,3901
76,3,1,Rua Eça de Queiróz,Vila Mariana,Apartamento,5673
88,3,2,Rua Freire de Andrade,Vila Regente Feijó,Apartamento,3999
45,1,0,Rua Conde de Sarzedas,Liberdade,Apartamento,1633
62,2,1,Alameda Santos,Jardim Paulista,Apartamento,7010
17,1,0,Rua Coronel Mursa,Brás,Studio e kitnet,1859
63,2,1,Alameda Conde de Porto Alegre,Santa Maria,Apartamento,3116
152,2,0,Avenida Deputado Emílio Carlos,Limão,Casa,2785
36,1,1,Avenida Doutor Francisco Mesquita,Vila Prudente,Apartamento,2407
24,1,0,Rua Engenheiro Américo da Graça Martins,Jardim Monte Azul,Apartamento,1656
90,2,1,Rua Nair Ferraz de Mesquita,Jardim Monte Kemel,Casa,2659
36,1,0,Rua Clímaco Barbosa,Cambuci,Apartamento,1960
35,1,0,Avenida Sapopemba,Jardim Planalto,Apartamento,1261
11,1,0,Rua das Palmeiras,Vila Buarque,Studio e kitnet,1904
32,2,0,Avenida Sapopemba,Jardim Planalto,Apartamento,2169
40,1,1,Rua Álvaro de Carvalho,Centro,Apartamento,2350
48,2,1,Rua Aída Gomes Tolêdo,Imirim,Apartamento,2165
52,1,0,Rua Dom Francisco de Sousa,Centro,Apartamento,1620
19,1,0,Rua Coronel Mursa,Brás,Apartamento,2865
99,2,3,Rua São José de Arimatéia,Jardim Vila Formosa,Casa,2606
50,1,0,Rua Castro Alves,Aclimação,Apartamento,2236
150,2,0,Rua Rafael de Oliveira,Água Fria,Casa,2523
30,1,0,Alameda dos Anapurus,Indianópolis,Apartamento,2061
320,4,2,Rua Montes Claros,Vila Brasilandia,Casa,9136
170,4,2,Alameda Campinas,Jardim Paulista,Apartamento,12690
90,3,1,Alameda Itu,Jardim Paulista,Apartamento,5079
38,1,0,Rua Helena Zerrener,Liberdade,Apartamento,1173
33,1,1,Rua Marie Nader Calfat,Jardim Ampliação,Studio e kitnet,3152
12,1,0,Rua Major Rubéns Florentino Vaz,Vila Pirajussara,Studio e kitnet,1818
50,2,0,Avenida Antártica,Água Branca,Apartamento,2411
160,4,1,Rua Gustavo da Silveira,Vila Santa Catarina,Casa,3137
25,1,0,Rua Dulce Sena Guimaraes da Silva,Vila Renata,Studio e kitnet,842
63,2,1,Rua Major Freire,Vila Monte Alegre,Apartamento,2807
120,3,1,Rua Doutor José Higino,Vila Oratório,Apartamento,3606
74,1,1,Rua São Benedito,Jardim Novo Santo Amaro,Apartamento,7432
35,1,0,Avenida Ipiranga,República,Apartamento,2030
22,1,0,Rua Glicério,Liberdade,Studio e kitnet,1000
37,2,0,Rua Monsenhor Joaquim de Campos,Parque Sevilha,Apartamento,1720
69,2,1,Rua Anhembi,Jardim Caravelas,Apartamento,5000
300,4,3,Rua Doutor James Ferraz Alvim,Vila Suzana,Apartamento,10600
107,3,2,Rua Critios,Vila Suzana,Apartamento,4152
36,2,0,Rua Flora,Brás,Apartamento,2230
50,1,0,Avenida do Guacá,Lauzane Paulista,Apartamento,1913
300,3,3,Rua Bahia,Higienópolis,Casa,8797
360,4,2,Rua Jandaia,Bela Vista,Casa,9190
31,1,0,Rua Paulistânia,Sumarezinho,Studio e kitnet,3191
63,2,1,Rua General Chagas Santos,Vila da Saúde,Apartamento,5383
53,1,0,25 de Março,Centro Histórico de São Paulo,Apartamento,1687
35,1,1,Rua Orissanga,Mirandópolis,Apartamento,2657
55,2,0,Rua Juan Vicente,Bandeiras,Apartamento,1857
80,3,0,Rua das Pitombeiras,Vila Parque Jabaquara,Apartamento,2923
40,1,1,Rua Rocha Fraga,Cangaiba,Casa,1147
200,3,0,Alameda São Caetano,Santa Maria,Casa,3798
84,2,2,Rua Turiassú,Perdizes,Apartamento,9655
45,2,0,Rua Sílvio de Sousa,Vila Santa Clara,Casa em condomínio,1907
150,3,2,Rua Capiri,Vila Nova Mazzei,Casa,2738
180,3,1,Rua Doutor Nogueira de Noronha,Parque São Lucas,Casa,2502
25,1,0,Rua Doutor Gabriel da Veiga,Vila Baruel,Apartamento,1237
47,2,2,Rua Brigadeiro Galvão,Barra Funda,Apartamento,3452
30,1,1,Rua Voluntários da Pátria,Santana,Studio e kitnet,2516
130,2,0,Rua Três de Maio,Vila Clementino,Casa,4166
59,2,1,R. Coronel Bento Bicudo 1167,Piqueri,Apartamento,2400
93,2,2,Rua Casa do Ator,Vila Olímpia,Apartamento,18090
42,2,0,Rua Itanhomi,Vila Formosa,Apartamento,1584
95,1,1,Rua da Consolação,Cerqueira César,Apartamento,15170
31,1,0,Avenida Vila Ema,Vila Ema,Apartamento,2634
27,1,0,Avenida Professor Ascendino Reis,Vila Clementino ,Studio e kitnet,3457
49,2,1,Rua Chapada de Minas,Vila Andrade,Apartamento,2837
82,2,0,Rua Tavares Bastos,Perdizes,Apartamento,3296
22,1,0,Rua Bela Cintra,Consolação,Studio e kitnet,3942
200,3,2,Rua Céu Tropical,Jabaquara,Casa,4880
30,1,0,Rua Barão de Santo Ângelo,Jardim do Tiro,Casa em condomínio,1358
42,1,1,Rua Major Sertório,Vila Buarque,Studio e kitnet,2424
75,2,2,Rua João Moura,Pinheiros,Apartamento,13700
42,2,0,Rua Leôncio da Costa Viêira,Jardim Piqueroby,Apartamento,1688
26,1,0,Avenida Duquesa Goiás,Real Parque,Studio e kitnet,1752
69,2,1,Rua Silvestre Vasconcelos Calmon,Vila Pedro Moreira,Apartamento,3296
22,1,0,Rua Salvador de Lima,Tatuapé,Studio e kitnet,1454
21,1,0,Alameda Jauaperi,Indianópolis,Studio e kitnet,4467
196,2,2,Rua Antônio da Cunha Coelho,Moinho Velho,Casa,3341
49,2,1,Rua Laranjal do Jari,Vila Pirituba,Apartamento,2350
160,3,1,Rua Josephina Martinelli da Silva,Vila Santa Catarina,Casa,6842
45,2,0,Avenida Lauro Xerfan,Jardim Iva,Apartamento,2327
33,1,0,Rua Artur Prado,Bela Vista,Apartamento,3701
75,3,1,Rua Carlos Weber,Vila Leopoldina,Apartamento,5065
15,1,0,Praça Osvaldo Navarro,Vila Moinho Velho,Casa,724
56,2,1,Rua Martiniano de Carvalho,Bela Vista,Apartamento,3834
22,1,0,Rua Fortunato Pulherini,Mutinga,Casa,911
61,3,1,Rua Rego Barros,Jardim Vila Formosa,Apartamento,3357
60,2,1,Rua João Miguel Jarra,Vila Madalena,Apartamento,2996
75,2,0,Rua Scuvero,Cambuci,Casa,2422
42,1,0,Rua Pierre Martin,Vila Vermelha,Casa,1199
45,1,0,Rua Nicola Nicodemo,Sítio do Mandaqui,Casa,928
25,1,0,Rua Tília,Jardim das Flores,Studio e kitnet,1229
66,1,1,Rua Pascal,Campo Belo,Apartamento,5221
52,2,0,Praça Júlio Mesquita,Santa Efigênia,Apartamento,2245
150,3,2,Rua Jequitirana,Cidade Antônio Estevão de Carvalho,Casa,2919
42,2,0,Avenida José André de Moraes,Jardim Monte Alegre,Apartamento,2923
65,2,0,Avenida Sete de Setembro,Vila Galvão,Apartamento,1519
55,2,2,Rua Pensilvânia,Cidade Monções,Apartamento,4872
39,2,0,Rua Conde de Sarzedas,Sé,Apartamento,2511
52,1,0,Rua Brigadeiro Tobias,Centro,Apartamento,1531
50,1,1,Rua Arruda Alvim,Pinheiros,Apartamento,3200
46,1,0,Avenida Ipiranga,Santa Ifigênia,Apartamento,2216
48,1,0,Avenida Jabaquara,Mirandópolis,Apartamento,2454
76,2,1,Rua Doutor Eduardo de Souza Aranha,Vila Olímpia,Apartamento,4589
140,2,4,Rua Loefgreen,Vila Clementino,Casa,4504
42,2,0,Rua Afonso Pena,Bom Retiro,Apartamento,2228
29,1,0,Rua Frei Caneca,Consolação,Studio e kitnet,3516
65,2,1,Rua Padre Adelino,Quarta Parada,Apartamento,4125
60,2,1,Praça General Araripe de Faria,Vila Gomes,Apartamento,6000
65,2,1,Rua Vitoantônio Del Vecchio,Parque da Mooca,Apartamento,3236
70,2,1,Rua Ângelo Aloísio,Guapira,Apartamento,2601
104,3,2,Alameda Itu,Cerqueira César,Apartamento,13630
65,2,1,Rua Arminda,Vila Olímpia,Apartamento,5094
30,1,0,Rua Salto,Paraíso,Studio e kitnet,5247
50,2,1,Avenida Rangel Pestana,Brás,Apartamento,2734
98,2,2,Avenida Giovanni Gronchi,Vila Andrade,Apartamento,4266
39,1,2,Rua Bom Pastor,Ipiranga,Apartamento,4226
85,2,1,Rua Tenente Inácio da Silveira,Mooca,Casa,3685
180,3,3,Avenida Doutor Guilherme Dumont Vilares,Jardim Londrina,Apartamento,6130
50,1,0,Rua São Januário,Parada Inglesa,Casa,1404
100,3,1,Rua Alexandre Farnésio,Parque Maria Luiza,Casa,2023
25,1,0,Rua Bueno Brandão,Moema,Studio e kitnet,4967
38,1,1,Rua Marie Nader Calfat,Jardim Ampliação,Studio e kitnet,3014
160,1,1,Rua Demétrio Ribeiro,Cidade Mãe do Céu,Casa,2219
60,2,2,Rua Doutor João Vieira Neves,Butantã,Apartamento,3089
36,1,1,Avenida Monteiro Lobato,Macedo,Studio e kitnet,2590
64,2,1,Rua Capital Federal,Sumaré,Apartamento,4687
75,1,2,Rua Sansão Alves dos Santos,Cidade Monções,Apartamento,9520
35,1,0,Rua Jurupari,Jardim Oriental,Casa,1097
200,3,4,Avenida Victor Civita,Tamboré,Casa em condomínio,16770
28,1,0,Rua Azevedo Macedo,Vila Mariana,Apartamento,4133
32,1,0,Rua Doutor Ângelo Vita,Tatuapé,Studio e kitnet,2581
74,2,0,Rua Dom Pedro Henrique de Orleans E Bragança,Vila Jaguara,Casa,1517
40,1,0,Rua Brigadeiro Tobias,Centro Histórico de São Paulo,Apartamento,1732
69,2,2,Rua Conde Juliano,Vila Humaitá,Apartamento,3317
30,1,0,Rua Peixoto Gomide,Jardim Paulista,Studio e kitnet,2429
76,3,1,Alameda Franca,Cerqueira César,Apartamento,5594
61,2,1,Avenida Sargento Geraldo Sant'ana,Jardim Taquaral,Apartamento,2924
22,1,0,Rua Natividade Saldanha,São Lucas,Apartamento,1126
35,1,0,Rua Reboujo,Chácara Santo Antônio (zona Leste),Casa,1197
80,2,2,Rua Pacaraima,Cidade Dutra,Casa,3034
50,2,0,Rua Maniutuba,Chácara Santo Antônio (zona Leste),Apartamento,1830
152,3,1,Rua Jesuíno Arruda,Itaim Bibi,Apartamento,10860
66,2,1,Cayowaá,Sumaré,Apartamento,5364
26,1,0,Rua Macajuba,Jardim Iracema,Casa,743
55,1,0,Rua Zike Tuma,Jardim Ubirajara,Casa,752
65,1,1,Rua Tangará,Vila Mariana,Apartamento,8044
115,3,3,Rua Marechal Barbacena,Vila Regente Feijó,Apartamento,7208
68,3,1,Rua Orindiúva,Vila Maria Alta,Apartamento,3523
50,1,1,Rua Intendência,Brás,Apartamento,2814
140,3,2,"Parque do Morumbi, São Paulo - Sp, 05706-290, Brasil",Parque do Morumbi,Apartamento,4399
240,3,2,Rua Campo Belo do Sul,Parque Vitoria,Casa,4758
39,1,1,Avenida Jamaris,Planalto Paulista,Studio e kitnet,3237
70,2,1,R. Joseph Nigri,Jardim das Perdizes,Apartamento,5318
62,2,1,Rua João Borba,Vila Bertioga,Apartamento,3436
48,2,1,Rua Celso Ramos,Vila Andrade,Apartamento,2557
144,3,2,Rua Joaquim Nabuco,Brooklin,Casa,5735
220,4,3,Rua Critios,Vila Suzana,Apartamento,13690
48,1,0,Rua Gastão Madeira,Vila Maria Alta,Casa,1308
49,2,0,Rua Diogo Pereira,Super Quadra Morumbi,Apartamento,1750
35,1,0,Rua Anambés,Vila Formosa,Casa,1067
150,3,1,Travessa Buenópolis,Mooca,Casa,4242
70,2,1,Rua Professor Rui Bloem,Vila Primavera,Apartamento,3616
66,2,1,Rua Domingos de Morais,Vila Mariana,Apartamento,3416
36,1,0,Rua Santa Isabel,Vila Buarque,Apartamento,1711
29,1,1,Rua Renascença,Vila Congonhas,Studio e kitnet,4276
70,2,0,Rua Guaianases,Campos Elíseos,Apartamento,1889
70,2,1,Rua Dom Bento Pickel,Casa Verde Alta,Casa,2172
57,1,1,Alameda Grajau,Alphaville Industrial,Apartamento,6418
54,2,1,Rua Alora,Jardim Arize,Apartamento,2327
270,3,5,Rua Antônio Pires,Vila Albertina,Casa,4722
65,3,0,Rua João Guilherme de Brito,Veleiros,Casa,2259
140,3,2,Rua Judith Passald Esteves,Vila Sônia,Apartamento,4633
21,1,1,Avenida Engenheiro Armando de Arruda Pereira,Jabaquara,Studio e kitnet,1506
200,3,2,Rua Jorge Alves Ferreira,Jardim Colombo,Casa,5116
64,2,1,Avenida dos Imarés,Indianópolis,Apartamento,11190
43,1,0,Rua Frei Caneca,Consolação,Apartamento,3524
170,2,2,Avenida Doutor José Higino,Vila Oratorio,Casa,3080
117,3,2,Avenida Nhandú,Planalto Paulista,Casa,4834
175,2,1,Rua Américo Vespucci,Vila Prudente,Casa,3461
40,1,1,Rua Filipe Camarão,Tatuapé,Apartamento,3108
80,2,0,Avenida Brigadeiro Luís Antônio,Bela Vista,Apartamento,3144
45,2,0,Rua Conselheiro Lafaiette,Mooca,Apartamento,2993
55,1,1,Rua Francisco Leitão,Pinheiros,Apartamento,5221
97,2,0,Rua Dorezópolis,Jardim Santa Clara,Casa,2458
75,3,1,Rua Solidônio Leite,Vila Ivone,Apartamento,2649
50,2,1,Rua Martim Francisco,Santa Cecília,Apartamento,4455
167,2,3,Rua Bueno Brandão,Vila Nova Conceição,Apartamento,19540
54,1,0,Rua Catumbi,Brás,Apartamento,1854
50,1,0,Rua Engenheiro Silva Braga,Vila Brasilina,Casa,1232
18,1,0,Rua Bueno Brandão,Vila Nova Conceição,Studio e kitnet,4391
170,3,2,Rua João Domingos Bomtempo,Jardim Vazani,Casa,3944
88,1,1,Rua Guaricanga,Lapa,Casa,3648
27,1,0,Rua Julião Ferreira da Silva,Jardim Centenário,Casa,887
29,1,1,Rua Teodoro Sampaio,Pinheiros,Apartamento,3117
101,3,2,Avenida Santa Inês,Parque Mandaqui,Apartamento,5295
90,2,0,Rua Feliciano Bicudo,Vila Paulicéia,Casa,2808
50,1,0,Rua Debret,Vila São José,Apartamento,2238
174,3,3,Rua Luiz Prieto Roque,Interlagos,Casa,7306
350,4,4,Rua Cônego Amaral Mello,Casa Verde,Apartamento,17050
67,2,1,Rua Ipanema,Mooca,Apartamento,3969
120,3,2,Rua São Pompeu,Jardim Japão,Casa,4229
64,2,2,Rua Ascencional,Vila Andrade,Apartamento,3146
126,3,2,Rua Diana,Perdizes,Apartamento,6763
260,4,3,Rua Doutor Wladimir dos Santos Mello,Brooklin Paulista,Casa,6816
75,2,1,Rua Afonso Morsch,Vila Constança,Casa em condomínio,4067
60,1,3,Rua Gen. Severiano,Vila Invernada,Casa,1754
55,2,1,Avenida Engenheiro Thomaz Magalhães,Sítio da Figueira,Apartamento,2168
60,2,0,Rua Padre Benedito de Camargo,Penha de França,Casa,1629
150,3,2,Rua Antônio de Couros,Vila Palmeiras,Casa,4374
30,1,1,Alameda Campinas,Jardim Paulista,Apartamento,4206
30,1,0,Rua Cunha Matos,Jardim Ivana,Studio e kitnet,1128
66,1,1,Rua Fradique Coutinho,Pinheiros,Apartamento,8592
50,2,1,Rua Domingos Paiva,Brás,Apartamento,4587
