address,district,area,bedrooms,garage,type,rent,total
Rua Henrique Xavier,Vila Carrão,167,3,2,Casa,4300,4547
Rua José Antônio Fontes,Vila Tolstoi,40,1,0,Apartamento,950,1057
Rua Hungria,Vila Nova Santa Luzia,82,3,1,Apartamento,3500,3809
Rua Conselheiro Lafaiette,Mooca,35,1,0,Apartamento,2330,2874
Alameda Eduardo Prado,Campos Elíseos,29,1,1,Apartamento,1460,1995
Rua Sampaio Viana,Vila Mariana,100,3,2,Apartamento,11500,15390
Rua Oscar Freire,Pinheiros,70,2,1,Apartamento,7600,8980
Avenida Cônego José Salomon,Vila Portugal,49,2,0,Apartamento,1150,1494
Alameda Jaú,Jardim Paulista,257,4,3,Apartamento,13800,18730
Rua Palermo,São Judas,150,3,2,Casa,3700,3991
Rua Bernardino Vergueiro,Jardim Jaú (zona Leste),40,2,0,Apartamento,1105,1347
Rua Doutor Piragibe,Parque Penha,120,3,2,Casa,2530,2622
Rua José Antônio da Silva,Jardim Elvira,127,2,1,Casa,1200,1251
Rua Barão Triunfo,Brooklin Paulista,170,3,2,Apartamento,4500,8023
Rua Horácio Alves da Costa,Jardim Nosso Lar,66,2,2,Apartamento,2500,3537
Rua Francisca Miquelina,Bela Vista,25,1,0,Studio e kitnet,1644,2147
Rua São Borja,Cidade Vargas,170,4,4,Casa,5500,5800
Rua Copacabana,Chora Menino,50,2,1,Apartamento,1500,2209
Rua José Debieux,Santana,67,2,2,Apartamento,4000,5304
Rua Backer,Cambuci,84,2,0,Casa,2700,2833
Rua Doutor Zuquim,Santana,80,3,0,Apartamento,2000,2452
Rua Maria Carolina,Jardim Paulistano,22,1,0,Studio e kitnet,4500,4888
Rua Francisca Miquelina,Bela Vista,57,1,0,Apartamento,2250,2709
Rua da Consolação,Consolação,62,2,1,Apartamento,2252,2927
Rua Marquês de Sabará,Real Parque,170,4,3,Apartamento,5000,8779
Rua Adriano Theodósio Serra,Vila Gomes,60,1,1,Casa,1538,1760
Rua Marambaia,Casa Verde,29,1,0,Studio e kitnet,1500,2048
Rua Professor Luis Eulálio de Bueno Vidigal,Centro,32,1,1,Apartamento,2400,2775
Rua Professor José Horácio Meirelles Teixeira,Vila Suzana,169,4,1,Apartamento,5610,8544
Avenida Leôncio de Magalhães,Jardim São Paulo,74,2,1,Apartamento,2680,3509
Rua Domingos Crudo,Vila Conceição,80,2,2,Casa,6000,6387
Rua Santo Antônio,Bela Vista,50,1,1,Studio e kitnet,3000,4088
Rua Embiruçú,Vila Beatriz,200,3,3,Casa,2700,2873
Rua Barão de Tatuí,Vila Buarque,21,1,0,Studio e kitnet,1000,1428
Rua Janguruçu,Parque da Mooca,37,1,1,Studio e kitnet,2040,2318
Rua Jaceguai,Bela Vista,39,1,0,Apartamento,2300,2389
Avenida José Estevão de Magalhães,Vila Campestre,52,2,1,Apartamento,2310,2979
Rua São Procópio,Vila Califórnia,25,1,0,Casa,680,730
Rua Luísa Bocchiglieri Ximenes,Jardim Santa Cruz (campo Grande),270,4,2,Casa,8270,8871
"R. das Nhandirobas - Jardim Oriental, São Paulo - Sp, Brasil",Jardim Oriental,18,1,0,Apartamento,1800,1823
Rua Plínio Colás,Lauzane Paulista,90,3,3,Apartamento,2800,4360
Rua Abrahão Mussa,Jardim Patente Novo,70,1,1,Apartamento,1240,1790
Rua Gurupi,Nova Gerti,90,3,2,Casa,2500,2706
"R. João Simões de Souza - Parque Reboucas, São Paulo - Sp, 05734-140, Brasil",Parque Reboucas,104,2,2,Apartamento,7500,8653
Rua Torres da Barra,Água Branca,58,2,1,Apartamento,3450,4170
Rua Verona,Vila Dom Pedro Ii,290,3,6,Casa,4000,4624
Rua Professor Miguel Maurício da Rocha,Brooklin Paulista,180,3,3,Casa,7361,7873
Rua Taubaté,Utinga,80,2,0,Casa,1370,1464
Rua Coronel Gustavo Santiago,Vila Zilda,30,1,0,Apartamento,2000,2277
Rua Daniel José Pereira,Rio Pequeno,120,3,2,Casa,3600,3822
Rua Mituto Mizumoto,Liberdade,54,2,1,Apartamento,2200,3011
Rua Oratório,Jardim Sônia Maria,100,3,1,Casa,2000,2152
Rua Capitão-mor Passos,Catumbi,54,1,0,Apartamento,1250,1565
Rua Abelardo Pinto,Centro Histórico de São Paulo,117,2,0,Apartamento,1500,2294
Rua Darwin,Jardim Santo Amaro,66,3,2,Apartamento,2920,4104
Rua João Pimenta,Santo Amaro,54,2,1,Apartamento,3600,4569
Rua dos Estudantes,Liberdade,22,1,0,Studio e kitnet,1500,1825
Rua Josef Kryss,Parque Industrial Tomas Edson,45,2,0,Apartamento,2130,2642
Alameda Joaquim Eugênio de Lima,Jardim Paulista,170,3,1,Apartamento,6112,8948
Rua Professor Alves Pedroso,Cangaiba,48,2,1,Apartamento,1000,1592
Avenida Cupecê,Jardim Prudência,33,2,0,Apartamento,1600,2027
Rua Atos Damasceno,Vila Santa Catarina,70,2,1,Apartamento,2550,2649
Rua Doutor Domingos de Sylos,Brooklin Paulista,220,4,2,Casa,6500,6776
R. dos Democratas,Vila Monte Alegre,97,3,2,Apartamento,5040,6649
Avenida Pedro Bueno,Jabaquara,300,3,2,Casa,4000,4818
Rua Juquis,Indianópolis,170,4,2,Apartamento,13200,16070
Rua Tristão de Campos,Jardim Trussardi,290,3,2,Casa,4500,4932
Rua Treze de Maio,Bela Vista,54,2,1,Apartamento,3600,4129
Rua Ancara,Utinga,51,2,1,Apartamento,2100,2618
Rua Nova Barão,República,44,0,0,Studio e kitnet,1550,2160
Rua Costa Barros,Sítio Pinheirinho,50,2,1,Apartamento,1300,1800
Largo do Arouche,República,29,1,0,Studio e kitnet,2200,2784
Rua Akron,Jardim Aricanduva,60,1,0,Casa,1350,1407
Rua Doutor Miranda de Azevedo,Vila Anglo Brasileira,44,1,1,Apartamento,4000,5154
Rua Apiacás,Perdizes,36,1,0,Studio e kitnet,3100,3975
Rua Borges,Parada Inglesa,57,2,0,Apartamento,2200,2919
Rua Barão do Triunfo,Brooklin Paulista,102,2,0,Apartamento,3370,4611
Rua Marie Nader Calfat,Jardim Ampliação,47,1,1,Apartamento,2700,3414
Rua Vicente Félix,Cerqueira César,160,3,2,Apartamento,10800,14720
R. Tabatinguera,Centro,23,1,0,Studio e kitnet,2000,2493
Rua São Marcos,Veloso,50,2,0,Casa,1100,1147
Rua Caramuru,Vila da Saúde,24,1,0,Studio e kitnet,2500,2932
Rua Antônio José Vaz,Vila Caraguatá,68,3,1,Apartamento,2150,2683
Rua Oscar Horta,Mooca,110,2,1,Casa,2800,2847
Viaduto Nove de Julho,Centro,20,1,0,Studio e kitnet,1800,2365
Rua Magarinos Torres,Vila Maria,80,2,1,Casa,2200,2593
Rua Farid Miguel Haddad,Vila Santa Teresa (zona Sul),48,2,1,Apartamento,1460,1811
Rua Nossa Senhora da Saúde,Jardim Previdência,22,1,0,Casa,1190,1263
Rua Anhaia,Campos Elíseos,30,1,0,Studio e kitnet,3300,3777
Rua Ibiporã,Vila Divina Pastora,30,1,0,Apartamento,1085,1277
Rua Doutor Miranda de Azevedo,Pompeia,28,1,0,Casa,1250,1303
Rua Tagipuru,Barra Funda,84,2,1,Apartamento,2400,4031
Rua Carlos Pinto Alves,Jardim Aeroporto,159,4,2,Casa,3980,4449
Rua Raimundo Simão de Souza,Vila Suzana,190,3,3,Apartamento,3500,5813
Rua Dom Bernardo Nogueira,Vila Gumercindo,56,2,1,Apartamento,2500,3379
Rua Ascencional,Jardim Ampliação,38,1,1,Apartamento,3000,3545
Rua Fúlvio Morganti,Jardim Paraíso,170,2,2,Casa,3900,4245
Praça Santa Therezinha,Vila Azevedo,68,3,1,Apartamento,2850,3901
Rua Eça de Queiróz,Vila Mariana,76,3,1,Apartamento,3500,5673
Rua Freire de Andrade,Vila Regente Feijó,88,3,2,Apartamento,2500,3999
Rua Conde de Sarzedas,Liberdade,45,1,0,Apartamento,1050,1633
Alameda Santos,Jardim Paulista,62,2,1,Apartamento,5770,7010
Rua Coronel Mursa,Brás,17,1,0,Studio e kitnet,1539,1859
Alameda Conde de Porto Alegre,Santa Maria,63,2,1,Apartamento,2300,3116
Avenida Deputado Emílio Carlos,Limão,152,2,0,Casa,2650,2785
Avenida Doutor Francisco Mesquita,Vila Prudente,36,1,1,Apartamento,2000,2407
Rua Engenheiro Américo da Graça Martins,Jardim Monte Azul,24,1,0,Apartamento,1450,1656
Rua Nair Ferraz de Mesquita,Jardim Monte Kemel,90,2,1,Casa,2560,2659
Rua Clímaco Barbosa,Cambuci,36,1,0,Apartamento,1550,1960
Avenida Sapopemba,Jardim Planalto,35,1,0,Apartamento,1050,1261
Rua das Palmeiras,Vila Buarque,11,1,0,Studio e kitnet,1560,1904
Avenida Sapopemba,Jardim Planalto,32,2,0,Apartamento,1800,2169
Rua Álvaro de Carvalho,Centro,40,1,1,Apartamento,1350,2350
Rua Aída Gomes Tolêdo,Imirim,48,2,1,Apartamento,1689,2165
Rua Dom Francisco de Sousa,Centro,52,1,0,Apartamento,1300,1620
Rua Coronel Mursa,Brás,19,1,0,Apartamento,2450,2865
Rua São José de Arimatéia,Jardim Vila Formosa,99,2,3,Casa,2500,2606
Rua Castro Alves,Aclimação,50,1,0,Apartamento,1800,2236
Rua Rafael de Oliveira,Água Fria,150,2,0,Casa,2300,2523
Alameda dos Anapurus,Indianópolis,30,1,0,Apartamento,1500,2061
Rua Montes Claros,Vila Brasilandia,320,4,2,Casa,8000,9136
Alameda Campinas,Jardim Paulista,170,4,2,Apartamento,9300,12690
Alameda Itu,Jardim Paulista,90,3,1,Apartamento,3500,5079
Rua Helena Zerrener,Liberdade,38,1,0,Apartamento,850,1173
Rua Marie Nader Calfat,Jardim Ampliação,33,1,1,Studio e kitnet,2650,3152
Rua Major Rubéns Florentino Vaz,Vila Pirajussara,12,1,0,Studio e kitnet,1750,1818
Avenida Antártica,Água Branca,50,2,0,Apartamento,1700,2411
Rua Gustavo da Silveira,Vila Santa Catarina,160,4,1,Casa,3000,3137
Rua Dulce Sena Guimaraes da Silva,Vila Renata,25,1,0,Studio e kitnet,600,842
Rua Major Freire,Vila Monte Alegre,63,2,1,Apartamento,1734,2807
Rua Doutor José Higino,Vila Oratório,120,3,1,Apartamento,2500,3606
Rua São Benedito,Jardim Novo Santo Amaro,74,1,1,Apartamento,6000,7432
Avenida Ipiranga,República,35,1,0,Apartamento,1550,2030
Rua Glicério,Liberdade,22,1,0,Studio e kitnet,900,1000
Rua Monsenhor Joaquim de Campos,Parque Sevilha,37,2,0,Apartamento,1400,1720
Rua Anhembi,Jardim Caravelas,69,2,1,Apartamento,4135,5000
Rua Doutor James Ferraz Alvim,Vila Suzana,300,4,3,Apartamento,6500,10600
Rua Critios,Vila Suzana,107,3,2,Apartamento,2200,4152
Rua Flora,Brás,36,2,0,Apartamento,1800,2230
Avenida do Guacá,Lauzane Paulista,50,1,0,Apartamento,1400,1913
Rua Bahia,Higienópolis,300,3,3,Casa,7500,8797
Rua Jandaia,Bela Vista,360,4,2,Casa,8000,9190
Rua Paulistânia,Sumarezinho,31,1,0,Studio e kitnet,2620,3191
Rua General Chagas Santos,Vila da Saúde,63,2,1,Apartamento,4380,5383
25 de Março,Centro Histórico de São Paulo,53,1,0,Apartamento,1000,1687
Rua Orissanga,Mirandópolis,35,1,1,Apartamento,1950,2657
Rua Juan Vicente,Bandeiras,55,2,0,Apartamento,1400,1857
Rua das Pitombeiras,Vila Parque Jabaquara,80,3,0,Apartamento,2300,2923
Rua Rocha Fraga,Cangaiba,40,1,1,Casa,1100,1147
Alameda São Caetano,Santa Maria,200,3,0,Casa,3072,3798
Rua Turiassú,Perdizes,84,2,2,Apartamento,8075,9655
Rua Sílvio de Sousa,Vila Santa Clara,45,2,0,Casa em condomínio,1650,1907
Rua Capiri,Vila Nova Mazzei,150,3,2,Casa,2600,2738
Rua Doutor Nogueira de Noronha,Parque São Lucas,180,3,1,Casa,2400,2502
Rua Doutor Gabriel da Veiga,Vila Baruel,25,1,0,Apartamento,1100,1237
Rua Brigadeiro Galvão,Barra Funda,47,2,2,Apartamento,2800,3452
Rua Voluntários da Pátria,Santana,30,1,1,Studio e kitnet,1600,2516
Rua Três de Maio,Vila Clementino,130,2,0,Casa,3600,4166
R. Coronel Bento Bicudo 1167,Piqueri,59,2,1,Apartamento,1700,2400
Rua Casa do Ator,Vila Olímpia,93,2,2,Apartamento,15000,18090
Rua Itanhomi,Vila Formosa,42,2,0,Apartamento,1300,1584
Rua da Consolação,Cerqueira César,95,1,1,Apartamento,13300,15170
Avenida Vila Ema,Vila Ema,31,1,0,Apartamento,2200,2634
Avenida Professor Ascendino Reis,Vila Clementino ,27,1,0,Studio e kitnet,2880,3457
Rua Chapada de Minas,Vila Andrade,49,2,1,Apartamento,2240,2837
Rua Tavares Bastos,Perdizes,82,2,0,Apartamento,2500,3296
Rua Bela Cintra,Consolação,22,1,0,Studio e kitnet,3300,3942
Rua Céu Tropical,Jabaquara,200,3,2,Casa,4800,4880
Rua Barão de Santo Ângelo,Jardim do Tiro,30,1,0,Casa em condomínio,1200,1358
Rua Major Sertório,Vila Buarque,42,1,1,Studio e kitnet,1750,2424
Rua João Moura,Pinheiros,75,2,2,Apartamento,12000,13700
Rua Leôncio da Costa Viêira,Jardim Piqueroby,42,2,0,Apartamento,1500,1688
Avenida Duquesa Goiás,Real Parque,26,1,0,Studio e kitnet,1345,1752
Rua Silvestre Vasconcelos Calmon,Vila Pedro Moreira,69,2,1,Apartamento,2600,3296
Rua Salvador de Lima,Tatuapé,22,1,0,Studio e kitnet,1140,1454
Alameda Jauaperi,Indianópolis,21,1,0,Studio e kitnet,3700,4467
Rua Antônio da Cunha Coelho,Moinho Velho,196,2,2,Casa,3000,3341
Rua Laranjal do Jari,Vila Pirituba,49,2,1,Apartamento,1650,2350
Rua Josephina Martinelli da Silva,Vila Santa Catarina,160,3,1,Casa,6500,6842
Avenida Lauro Xerfan,Jardim Iva,45,2,0,Apartamento,2000,2327
Rua Artur Prado,Bela Vista,33,1,0,Apartamento,3000,3701
Rua Carlos Weber,Vila Leopoldina,75,3,1,Apartamento,3400,5065
Praça Osvaldo Navarro,Vila Moinho Velho,15,1,0,Casa,650,724
Rua Martiniano de Carvalho,Bela Vista,56,2,1,Apartamento,3120,3834
Rua Fortunato Pulherini,Mutinga,22,1,0,Casa,871,911
Rua Rego Barros,Jardim Vila Formosa,61,3,1,Apartamento,2800,3357
Rua João Miguel Jarra,Vila Madalena,60,2,1,Apartamento,2500,2996
Rua Scuvero,Cambuci,75,2,0,Casa,2266,2422
Rua Pierre Martin,Vila Vermelha,42,1,0,Casa,1150,1199
Rua Nicola Nicodemo,Sítio do Mandaqui,45,1,0,Casa,890,928
Rua Tília,Jardim das Flores,25,1,0,Studio e kitnet,1160,1229
Rua Pascal,Campo Belo,66,1,1,Apartamento,4000,5221
Praça Júlio Mesquita,Santa Efigênia,52,2,0,Apartamento,1750,2245
Rua Jequitirana,Cidade Antônio Estevão de Carvalho,150,3,2,Casa,2800,2919
Avenida José André de Moraes,Jardim Monte Alegre,42,2,0,Apartamento,2400,2923
Avenida Sete de Setembro,Vila Galvão,65,2,0,Apartamento,1400,1519
Rua Pensilvânia,Cidade Monções,55,2,2,Apartamento,3100,4872
Rua Conde de Sarzedas,Sé,39,2,0,Apartamento,2100,2511
Rua Brigadeiro Tobias,Centro,52,1,0,Apartamento,918,1531
Rua Arruda Alvim,Pinheiros,50,1,1,Apartamento,2365,3200
Avenida Ipiranga,Santa Ifigênia,46,1,0,Apartamento,1700,2216
Avenida Jabaquara,Mirandópolis,48,1,0,Apartamento,1800,2454
Rua Doutor Eduardo de Souza Aranha,Vila Olímpia,76,2,1,Apartamento,3300,4589
Rua Loefgreen,Vila Clementino,140,2,4,Casa,4000,4504
Rua Afonso Pena,Bom Retiro,42,2,0,Apartamento,1800,2228
Rua Frei Caneca,Consolação,29,1,0,Studio e kitnet,3000,3516
Rua Padre Adelino,Quarta Parada,65,2,1,Apartamento,3500,4125
Praça General Araripe de Faria,Vila Gomes,60,2,1,Apartamento,4523,6000
Rua Vitoantônio Del Vecchio,Parque da Mooca,65,2,1,Apartamento,2230,3236
Rua Ângelo Aloísio,Guapira,70,2,1,Apartamento,2000,2601
Alameda Itu,Cerqueira César,104,3,2,Apartamento,11360,13630
Rua Arminda,Vila Olímpia,65,2,1,Apartamento,3760,5094
Rua Salto,Paraíso,30,1,0,Studio e kitnet,3600,5247
Avenida Rangel Pestana,Brás,50,2,1,Apartamento,2200,2734
Avenida Giovanni Gronchi,Vila Andrade,98,2,2,Apartamento,3000,4266
Rua Bom Pastor,Ipiranga,39,1,2,Apartamento,3200,4226
Rua Tenente Inácio da Silveira,Mooca,85,2,1,Casa,3200,3685
Avenida Doutor Guilherme Dumont Vilares,Jardim Londrina,180,3,3,Apartamento,3690,6130
Rua São Januário,Parada Inglesa,50,1,0,Casa,1300,1404
Rua Alexandre Farnésio,Parque Maria Luiza,100,3,1,Casa,1940,2023
Rua Bueno Brandão,Moema,25,1,0,Studio e kitnet,3850,4967
Rua Marie Nader Calfat,Jardim Ampliação,38,1,1,Studio e kitnet,2400,3014
Rua Demétrio Ribeiro,Cidade Mãe do Céu,160,1,1,Casa,2000,2219
Rua Doutor João Vieira Neves,Butantã,60,2,2,Apartamento,2300,3089
Avenida Monteiro Lobato,Macedo,36,1,1,Studio e kitnet,1878,2590
Rua Capital Federal,Sumaré,64,2,1,Apartamento,3045,4687
Rua Sansão Alves dos Santos,Cidade Monções,75,1,2,Apartamento,7650,9520
Rua Jurupari,Jardim Oriental,35,1,0,Casa,980,1097
Avenida Victor Civita,Tamboré,200,3,4,Casa em condomínio,15000,16770
Rua Azevedo Macedo,Vila Mariana,28,1,0,Apartamento,3450,4133
Rua Doutor Ângelo Vita,Tatuapé,32,1,0,Studio e kitnet,1990,2581
Rua Dom Pedro Henrique de Orleans E Bragança,Vila Jaguara,74,2,0,Casa,1300,1517
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,40,1,0,Apartamento,1190,1732
Rua Conde Juliano,Vila Humaitá,69,2,2,Apartamento,2650,3317
Rua Peixoto Gomide,Jardim Paulista,30,1,0,Studio e kitnet,1850,2429
Alameda Franca,Cerqueira César,76,3,1,Apartamento,4300,5594
Avenida Sargento Geraldo Sant'ana,Jardim Taquaral,61,2,1,Apartamento,1760,2924
Rua Natividade Saldanha,São Lucas,22,1,0,Apartamento,900,1126
Rua Reboujo,Chácara Santo Antônio (zona Leste),35,1,0,Casa,1100,1197
Rua Pacaraima,Cidade Dutra,80,2,2,Casa,2910,3034
Rua Maniutuba,Chácara Santo Antônio (zona Leste),50,2,0,Apartamento,1500,1830
Rua Jesuíno Arruda,Itaim Bibi,152,3,1,Apartamento,8900,10860
Cayowaá,Sumaré,66,2,1,Apartamento,4500,5364
Rua Macajuba,Jardim Iracema,26,1,0,Casa,730,743
Rua Zike Tuma,Jardim Ubirajara,55,1,0,Casa,722,752
Rua Tangará,Vila Mariana,65,1,1,Apartamento,6710,8044
Rua Marechal Barbacena,Vila Regente Feijó,115,3,3,Apartamento,4935,7208
Rua Orindiúva,Vila Maria Alta,68,3,1,Apartamento,2910,3523
Rua Intendência,Brás,50,1,1,Apartamento,2200,2814
"Parque do Morumbi, São Paulo - Sp, 05706-290, Brasil",Parque do Morumbi,140,3,2,Apartamento,3000,4399
Rua Campo Belo do Sul,Parque Vitoria,240,3,2,Casa,4500,4758
Avenida Jamaris,Planalto Paulista,39,1,1,Studio e kitnet,1626,3237
R. Joseph Nigri,Jardim das Perdizes,70,2,1,Apartamento,4100,5318
Rua João Borba,Vila Bertioga,62,2,1,Apartamento,2210,3436
Rua Celso Ramos,Vila Andrade,48,2,1,Apartamento,2100,2557
Rua Joaquim Nabuco,Brooklin,144,3,2,Casa,5100,5735
Rua Critios,Vila Suzana,220,4,3,Apartamento,10000,13690
Rua Gastão Madeira,Vila Maria Alta,48,1,0,Casa,1150,1308
Rua Diogo Pereira,Super Quadra Morumbi,49,2,0,Apartamento,1300,1750
Rua Anambés,Vila Formosa,35,1,0,Casa,1000,1067
Travessa Buenópolis,Mooca,150,3,1,Casa,3900,4242
Rua Professor Rui Bloem,Vila Primavera,70,2,1,Apartamento,3000,3616
Rua Domingos de Morais,Vila Mariana,66,2,1,Apartamento,2910,3416
Rua Santa Isabel,Vila Buarque,36,1,0,Apartamento,1160,1711
Rua Renascença,Vila Congonhas,29,1,1,Studio e kitnet,3215,4276
Rua Guaianases,Campos Elíseos,70,2,0,Apartamento,1500,1889
Rua Dom Bento Pickel,Casa Verde Alta,70,2,1,Casa,1900,2172
Alameda Grajau,Alphaville Industrial,57,1,1,Apartamento,3850,6418
Rua Alora,Jardim Arize,54,2,1,Apartamento,1836,2327
Rua Antônio Pires,Vila Albertina,270,3,5,Casa,3980,4722
Rua João Guilherme de Brito,Veleiros,65,3,0,Casa,2010,2259
Rua Judith Passald Esteves,Vila Sônia,140,3,2,Apartamento,3000,4633
Avenida Engenheiro Armando de Arruda Pereira,Jabaquara,21,1,1,Studio e kitnet,1450,1506
Rua Jorge Alves Ferreira,Jardim Colombo,200,3,2,Casa,4530,5116
Avenida dos Imarés,Indianópolis,64,2,1,Apartamento,10000,11190
Rua Frei Caneca,Consolação,43,1,0,Apartamento,2900,3524
Avenida Doutor José Higino,Vila Oratorio,170,2,2,Casa,2700,3080
Avenida Nhandú,Planalto Paulista,117,3,2,Casa,4500,4834
Rua Américo Vespucci,Vila Prudente,175,2,1,Casa,3000,3461
Rua Filipe Camarão,Tatuapé,40,1,1,Apartamento,2434,3108
Avenida Brigadeiro Luís Antônio,Bela Vista,80,2,0,Apartamento,2240,3144
Rua Conselheiro Lafaiette,Mooca,45,2,0,Apartamento,2400,2993
